t [s]	 x [feet] 	 y [feet] 	 z [feet]
0.143333	0.384430	38.966821	5.818931
0.145000	0.368491	38.735303	5.648425
0.146667	0.382657	38.552611	5.710046
0.148333	0.420913	38.338206	5.751113
0.150000	0.354356	38.231880	5.632783
0.151667	0.380571	38.003657	5.659261
0.153333	0.463637	37.836850	5.704935
0.155000	0.433466	37.691391	5.693751
0.156667	0.509095	37.494801	5.664396
0.158333	0.359077	37.272791	5.612341
0.160000	0.409353	37.112913	5.621566
0.161667	0.454401	36.985655	5.638542
0.163333	0.350931	36.733812	5.598728
0.165000	0.449361	36.601729	5.604737
0.166667	0.295539	36.438680	5.612522
0.168333	0.427441	36.338757	5.561776
0.170000	0.404252	36.072951	5.572571
0.171667	0.306847	35.912136	5.599965
0.173333	0.408356	35.842505	5.464263
0.175000	0.388940	35.552495	5.544860
0.176667	0.418823	35.374117	5.501279
0.178333	0.400103	35.232745	5.433721
0.180000	0.406422	35.049497	5.557153
0.181667	0.403512	34.889281	5.423461
0.183333	0.362792	34.737774	5.469839
0.185000	0.430778	34.484892	5.461726
0.186667	0.343054	34.389478	5.406325
0.188333	0.441597	34.177435	5.446424
0.190000	0.379134	33.945230	5.369018
0.191667	0.395816	33.804303	5.379649
0.193333	0.397515	33.598579	5.366682
0.195000	0.381855	33.463643	5.382765
0.196667	0.340970	33.303750	5.350989
0.198333	0.468401	33.124640	5.313220
0.200000	0.367226	33.021008	5.275114
0.201667	0.409088	32.714678	5.373074
0.203333	0.498799	32.612729	5.292329
0.205000	0.418023	32.382734	5.280484
0.206667	0.343482	32.220217	5.275111
0.208333	0.388487	32.104021	5.185707
0.210000	0.436427	31.895653	5.239433
0.211667	0.493610	31.727083	5.320341
0.213333	0.494105	31.571387	5.178298
0.215000	0.412804	31.413771	5.223751
0.216667	0.350199	31.189507	5.182850
0.218333	0.412881	31.067643	5.186844
0.220000	0.448577	30.846163	5.184404
0.221667	0.431406	30.676396	5.156047
0.223333	0.322687	30.543894	5.111539
0.225000	0.415027	30.317487	5.153614
0.226667	0.375292	30.185925	5.112049
0.228333	0.397630	29.959311	4.995605
0.230000	0.363742	29.858416	5.097060
0.231667	0.426052	29.604272	5.018794
0.233333	0.432852	29.414901	5.020041
0.235000	0.449908	29.365025	5.005497
0.236667	0.388603	29.136907	5.039152
0.238333	0.372486	28.950623	5.015052
0.240000	0.344373	28.681658	4.975707
0.241667	0.371760	28.551662	4.896891
0.243333	0.441065	28.323728	4.860778
0.245000	0.327928	28.253495	4.969468
0.246667	0.372332	27.978676	5.013950
0.248333	0.445471	27.902058	4.857407
0.250000	0.331881	27.744641	4.808132
0.251667	0.420041	27.524999	4.828643
0.253333	0.414341	27.416988	4.882914
0.255000	0.413606	27.234954	4.769570
0.256667	0.403993	27.065084	4.785345
0.258333	0.317896	26.893320	4.831576
0.260000	0.422847	26.709455	4.757524
0.261667	0.450152	26.577300	4.764769
0.263333	0.411018	26.391288	4.734314
0.265000	0.428403	26.203946	4.674144
0.266667	0.396232	25.965103	4.767273
0.268333	0.393552	25.821289	4.664439
0.270000	0.429495	25.684582	4.682799
0.271667	0.489711	25.498707	4.679374
0.273333	0.409232	25.308312	4.672007
0.275000	0.453267	25.143609	4.559517
0.276667	0.425644	24.937111	4.643621
0.278333	0.386070	24.733865	4.577234
0.280000	0.353267	24.589038	4.638784
0.281667	0.439997	24.422793	4.632088
0.283333	0.474197	24.273577	4.546312
0.285000	0.388819	24.076447	4.503318
0.286667	0.418428	23.928939	4.500065
0.288333	0.391870	23.758141	4.437877
0.290000	0.391913	23.524251	4.379293
0.291667	0.424886	23.386798	4.437795
0.293333	0.420162	23.160308	4.416877
0.295000	0.373099	23.122861	4.289369
0.296667	0.418434	22.897024	4.304342
0.298333	0.319543	22.735720	4.391646
0.300000	0.437924	22.555295	4.354700
0.301667	0.454863	22.431852	4.343992
0.303333	0.420054	22.214681	4.260173
0.305000	0.451509	22.036955	4.219613
0.306667	0.467729	21.929342	4.254346
0.308333	0.428430	21.760137	4.202899
0.310000	0.415984	21.571460	4.236263
0.311667	0.447408	21.334386	4.197827
0.313333	0.442949	21.195593	4.248932
0.315000	0.438613	21.019336	4.253858
0.316667	0.437903	20.830034	4.037476
0.318333	0.455160	20.705315	4.143412
0.320000	0.433356	20.496454	4.069268
0.321667	0.476566	20.347442	4.093693
0.323333	0.411917	20.188028	4.006904
0.325000	0.409289	20.023793	4.016401
0.326667	0.385715	19.838246	3.965428
0.328333	0.473508	19.661813	3.990433
0.330000	0.462136	19.430468	3.921138
0.331667	0.455709	19.310339	3.905022
0.333333	0.442014	19.123889	3.903363
0.335000	0.392868	18.995481	3.924886
0.336667	0.420298	18.790505	3.835432
0.338333	0.460119	18.662641	3.786329
0.340000	0.448316	18.491639	3.866252
0.341667	0.440966	18.230993	3.834855
0.343333	0.451599	18.101355	3.774758
0.345000	0.508973	17.930816	3.737482
0.346667	0.458809	17.813734	3.739968
0.348333	0.460743	17.617446	3.733745
0.350000	0.380183	17.380070	3.674908
0.351667	0.416228	17.204132	3.654531
0.353333	0.482909	17.111778	3.581392
0.355000	0.515071	16.947139	3.636874
0.356667	0.459824	16.715397	3.497446
0.358333	0.494309	16.619878	3.568198
0.360000	0.461428	16.357519	3.514136
0.361667	0.488685	16.297583	3.525067
0.363333	0.549143	16.116610	3.559548
0.365000	0.455630	15.820110	3.481988
0.366667	0.478803	15.702755	3.537458
0.368333	0.410171	15.565200	3.400732
0.370000	0.404936	15.358120	3.386547
0.371667	0.480133	15.163804	3.330652
0.373333	0.500453	15.045195	3.313644
0.375000	0.456354	14.947788	3.299156
0.376667	0.470967	14.688226	3.250983
0.378333	0.508365	14.558202	3.250570
0.380000	0.455726	14.403167	3.207433
0.381667	0.401290	14.223132	3.264088
0.383333	0.566279	14.017507	3.223667
0.385000	0.545410	13.865058	3.114667
0.386667	0.478985	13.717557	3.174926
0.388333	0.432083	13.496027	2.992290
0.390000	0.534393	13.316955	3.044408
0.391667	0.517423	13.106766	3.008174
0.393333	0.535856	13.051057	2.996003
0.395000	0.459214	12.802109	2.939742
0.396667	0.497738	12.649375	3.027565
0.398333	0.338200	12.483442	2.906738
0.400000	0.496342	12.267018	2.924830
0.401667	0.496407	12.143544	2.830327
0.403333	0.515474	11.959501	2.881507
0.405000	0.540614	11.802856	2.784175
0.406667	0.469867	11.665161	2.836244
0.408333	0.500034	11.437144	2.753257
0.410000	0.548031	11.312647	2.757137
0.411667	0.599323	11.128282	2.696726
0.413333	0.552895	10.936569	2.684027
0.415000	0.493495	10.785691	2.673008
0.416667	0.506928	10.619212	2.652300
0.418333	0.531837	10.413028	2.629374
0.420000	0.560858	10.246531	2.597416
0.421667	0.475432	10.113663	2.552863
0.423333	0.491709	9.958847	2.535582
0.425000	0.538470	9.758348	2.498755
0.426667	0.452206	9.581208	2.449208
0.428333	0.501838	9.408030	2.373046
0.430000	0.480727	9.176648	2.362260
0.431667	0.586732	9.089563	2.398461
0.433333	0.548996	8.877178	2.349082
0.435000	0.514326	8.759739	2.347196
0.436667	0.573139	8.610749	2.266428
0.438333	0.468361	8.414101	2.234768
0.440000	0.603625	8.280725	2.189930
0.441667	0.593917	8.091980	2.140853
0.443333	0.514511	7.907833	2.111194
0.445000	0.501829	7.736353	2.131472
0.446667	0.564756	7.632815	2.051044
0.448333	0.626105	7.447177	2.088486
0.450000	0.516739	7.224190	2.029433
0.451667	0.556459	7.117595	2.018671
0.453333	0.541906	6.944250	1.928865
0.455000	0.504645	6.719616	1.964673
0.456667	0.529324	6.596032	1.880940
0.458333	0.652845	6.406111	1.873597
0.460000	0.598666	6.148881	1.812030
0.461667	0.640008	6.021901	1.788619
0.463333	0.551423	5.902120	1.805673
0.465000	0.519324	5.763723	1.686465
0.466667	0.644543	5.538086	1.674722
0.468333	0.602001	5.363678	1.675629
0.470000	0.621999	5.225237	1.586266
0.471667	0.618569	5.069495	1.578274
0.473333	0.587023	4.856561	1.570576
0.475000	0.497003	4.687636	1.543486
0.476667	0.563574	4.599884	1.494622
0.478333	0.589207	4.291908	1.448308
0.480000	0.542768	4.219910	1.364669
0.481667	0.639927	4.094206	1.402073
0.483333	0.587055	3.824526	1.270463
0.485000	0.690738	3.724013	1.325842
0.486667	0.678089	3.491405	1.293461
0.488333	0.614898	3.361644	1.196794
0.490000	0.583594	3.183938	1.136525
0.491667	0.597476	3.043823	1.081661
0.493333	0.611562	2.911857	1.170896
0.495000	0.580175	2.646124	1.034882
0.496667	0.634621	2.468423	1.044768
0.498333	0.582623	2.382030	1.014279
